Link,Name,Disease Name
http://babelnet.org/rdf/page/s00057411n,s00057411n
http://babelnet.org/rdf/page/s00057839n,s00057839n
http://babelnet.org/rdf/page/s00058649n,s00058649n
http://babelnet.org/rdf/page/s00058881n,s00058881n
http://babelnet.org/rdf/page/s00059037n,s00059037n
http://babelnet.org/rdf/page/s00059189n,s00059189n
http://babelnet.org/rdf/page/s00059473n,s00059473n
http://babelnet.org/rdf/page/s00059661n,s00059661n
http://babelnet.org/rdf/page/s00059673n,s00059673n
http://babelnet.org/rdf/page/s00060037n,s00060037n
http://babelnet.org/rdf/page/s00060285n,s00060285n
http://babelnet.org/rdf/page/s00060326n,s00060326n
http://babelnet.org/rdf/page/s00060397n,s00060397n
http://babelnet.org/rdf/page/s00060510n,s00060510n,sandfly fever
http://babelnet.org/rdf/page/s00060578n,s00060578n,paralysis agitans
http://babelnet.org/rdf/page/s00060599n,s00060599n,paranoid schizophrenia
http://babelnet.org/rdf/page/s00061578n,s00061578n,periarteritis nodosa
http://babelnet.org/rdf/page/s00061618n,s00061618n,periodontal disease
http://babelnet.org/rdf/page/s00061801n,s00061801n,petechia
http://babelnet.org/rdf/page/s00061939n,s00061939n,phenylketonuria
http://babelnet.org/rdf/page/s00062352n,s00062352n,pigeon toes
http://babelnet.org/rdf/page/s00062804n,s00062804n,plant disease
http://babelnet.org/rdf/page/s00062821n,s00062821n,plantar wart
http://babelnet.org/rdf/page/s00063439n,s00063439n,polymyositis
http://babelnet.org/rdf/page/s00064562n,s00064562n,proctitis
http://babelnet.org/rdf/page/s00064641n,s00064641n,progeria
http://babelnet.org/rdf/page/s00065004n,s00065004n,psoriasis
http://babelnet.org/rdf/page/s00065387n,s00065387n,pycnosis
http://babelnet.org/rdf/page/s00066119n,s00066119n,Ramsay Hunt syndrome
http://babelnet.org/rdf/page/s00066985n,s00066985n,Reiter's syndrome
http://babelnet.org/rdf/page/s00067360n,s00067360n,respiratory disease
http://babelnet.org/rdf/page/s00067361n,s00067361n,respiratory tract infection
http://babelnet.org/rdf/page/s00067616n,s00067616n,rheumatism
http://babelnet.org/rdf/page/s00067892n,s00067892n,tinea
http://babelnet.org/rdf/page/s00068950n,s00068950n,sialolith
http://babelnet.org/rdf/page/s00070553n,s00070553n,sepsis
http://babelnet.org/rdf/page/s00070571n,s00070571n,sequela
http://babelnet.org/rdf/page/s00070643n,s00070643n,serum sickness
http://babelnet.org/rdf/page/s00072367n,s00072367n,smut
http://babelnet.org/rdf/page/s00072387n,s00072387n,snakebite
http://babelnet.org/rdf/page/s00072457n,s00072457n,snowblindness
http://babelnet.org/rdf/page/s00073480n,s00073480n,splenomegaly
http://babelnet.org/rdf/page/s00073603n,s00073603n,spotted fever
http://babelnet.org/rdf/page/s00074187n,s00074187n,stenosis
http://babelnet.org/rdf/page/s00075440n,s00075440n,survivor guilt
http://babelnet.org/rdf/page/s00075719n,s00075719n,syndrome
http://babelnet.org/rdf/page/s00076117n,s00076117n,tapeworm infection
http://babelnet.org/rdf/page/s00076555n,s00076555n,tension headache
http://babelnet.org/rdf/page/s00077348n,s00077348n,tinea unguium
http://babelnet.org/rdf/page/s00077691n,s00077691n,torticollis
http://babelnet.org/rdf/page/s00078673n,s00078673n,Turner's syndrome
http://babelnet.org/rdf/page/s00079266n,s00079266n,upper respiratory infection
http://babelnet.org/rdf/page/s00079343n,s00079343n,urinary tract infection
http://babelnet.org/rdf/page/s00079421n,s00079421n,uveitis
http://babelnet.org/rdf/page/s00079595n,s00079595n,varicose vein
http://babelnet.org/rdf/page/s00079759n,s00079759n,ventricular fibrillation
http://babelnet.org/rdf/page/s00079819n,s00079819n,wart
http://babelnet.org/rdf/page/s00081758n,s00081758n,xanthoma
http://babelnet.org/rdf/page/s00081791n,s00081791n,XYY
http://babelnet.org/rdf/page/s00082069n,s00082069n,Zollinger-Ellison syndrome
http://babelnet.org/rdf/page/s00117894n,s00117894n,Currarino syndrome
http://babelnet.org/rdf/page/s00119593n,s00119593n,loxoscelism
http://babelnet.org/rdf/page/s00120177n,s00120177n,hereditary multiple exostoses
http://babelnet.org/rdf/page/s00122675n,s00122675n,pipecolic acidemia
http://babelnet.org/rdf/page/s00126054n,s00126054n,Ebstein's anomaly
http://babelnet.org/rdf/page/s00126786n,s00126786n,Transfusion hemosiderosis
http://babelnet.org/rdf/page/s00129001n,s00129001n,Mallory–Weiss syndrome
http://babelnet.org/rdf/page/s00129075n,s00129075n,Cushing ulcer
http://babelnet.org/rdf/page/s00129082n,s00129082n,linitis plastica
http://babelnet.org/rdf/page/s00137433n,s00137433n,hepatosplenomegaly
http://babelnet.org/rdf/page/s00138150n,s00138150n,generalized lymphadenopathy
http://babelnet.org/rdf/page/s00139968n,s00139968n,galactokinase deficiency
http://babelnet.org/rdf/page/s00140177n,s00140177n,prolactinoma
http://babelnet.org/rdf/page/s00140192n,s00140192n,ependymoma
http://babelnet.org/rdf/page/s00141994n,s00141994n,dactylitis
http://babelnet.org/rdf/page/s00144880n,s00144880n,aldolase A deficiency
http://babelnet.org/rdf/page/s00146394n,s00146394n,fluoride toxicity
http://babelnet.org/rdf/page/s00151832n,s00151832n,Intestinal varices
http://babelnet.org/rdf/page/s00152952n,s00152952n,17-beta-hydroxysteroid dehydrogenase deficiency
http://babelnet.org/rdf/page/s00153175n,s00153175n,proteinopathy
http://babelnet.org/rdf/page/s00153472n,s00153472n,chronic pancreatitis
http://babelnet.org/rdf/page/s00157029n,s00157029n,bulbar palsy
http://babelnet.org/rdf/page/s00158224n,s00158224n,Chronic Somogyi rebound
http://babelnet.org/rdf/page/s00165078n,s00165078n,Jumping Frenchmen of Maine
http://babelnet.org/rdf/page/s00165082n,s00165082n,paraphasia
http://babelnet.org/rdf/page/s00165838n,s00165838n,hemoglobin Barts
http://babelnet.org/rdf/page/s00173282n,s00173282n,spinal cord injury
http://babelnet.org/rdf/page/s00174450n,s00174450n,normal pressure hydrocephalus
