,,Disease Name,
http://babelnet.org/rdf/page/s26566781n,s26566781n,,
http://babelnet.org/rdf/page/s26566782n,s26566782n,,
http://babelnet.org/rdf/page/s27622646n,s27622646n,,
http://babelnet.org/rdf/page/s27622646n,s27622646n,,
http://babelnet.org/rdf/page/s18509613n,s18509613n,,
http://babelnet.org/rdf/page/s14967687n,s14967687n,,
http://babelnet.org/rdf/page/s05746901n,s05746901n,,
http://babelnet.org/rdf/page/s07820398n,s07820398n,,
http://babelnet.org/rdf/page/s07822902n,s07822902n,,
http://babelnet.org/rdf/page/s05612981n,s05612981n,,
http://babelnet.org/rdf/page/s06757039n,s06757039n,,
http://babelnet.org/rdf/page/s07745593n,s07745593n,,
http://babelnet.org/rdf/page/s07788146n,s07788146n,,
http://babelnet.org/rdf/page/s07801473n,s07801473n,,
http://babelnet.org/rdf/page/s07801474n,s07801474n,,
http://babelnet.org/rdf/page/s07813383n,s07813383n,,
http://babelnet.org/rdf/page/s08610928n,s08610928n,,
http://babelnet.org/rdf/page/s08742662n,s08742662n,,
http://babelnet.org/rdf/page/s11152826n,s11152826n,,
http://babelnet.org/rdf/page/s11637680n,s11637680n,,
http://babelnet.org/rdf/page/s11643003n,s11643003n,,
http://babelnet.org/rdf/page/s05197784n,s05197784n,,
http://babelnet.org/rdf/page/s05200943n,s05200943n,,
http://babelnet.org/rdf/page/s05201901n,s05201901n,,
http://babelnet.org/rdf/page/s05222388n,s05222388n,,
http://babelnet.org/rdf/page/s04129929n,s04129929n,,
http://babelnet.org/rdf/page/s05240093n,s05240093n,,
http://babelnet.org/rdf/page/s05266374n,s05266374n,,
http://babelnet.org/rdf/page/s05388829n,s05388829n,,
http://babelnet.org/rdf/page/s06446249n,s06446249n,,
http://babelnet.org/rdf/page/s07433117n,s07433117n,,
http://babelnet.org/rdf/page/s07434000n,s07434000n,,
http://babelnet.org/rdf/page/s08771829n,s08771829n,,
http://babelnet.org/rdf/page/s09262180n,s09262180n,,
http://babelnet.org/rdf/page/s09262181n,s09262181n,,
http://babelnet.org/rdf/page/s11643624n,s11643624n,,
http://babelnet.org/rdf/page/s05759629n,s05759629n,,
http://babelnet.org/rdf/page/s05759714n,s05759714n,,
http://babelnet.org/rdf/page/s05759728n,s05759728n,,
http://babelnet.org/rdf/page/s05759748n,s05759748n,,
http://babelnet.org/rdf/page/s05759892n,s05759892n,,
http://babelnet.org/rdf/page/s05760619n,s05760619n,,
http://babelnet.org/rdf/page/s05768865n,s05768865n,,
http://babelnet.org/rdf/page/s05771625n,s05771625n,,
