Link,Name,Disease Name,Is it in Wikidata?
http://babelnet.org/rdf/page/s00052444n,s00052444n,lymphedema,Yes
http://babelnet.org/rdf/page/s00052605n,s00052605n,macrocephaly,Yes
http://babelnet.org/rdf/page/s00052626n,s00052626n,macular degeneration,
http://babelnet.org/rdf/page/s00052919n,s00052919n,seasickness,Yes
http://babelnet.org/rdf/page/s00053003n,s00053003n,malignancy,
http://babelnet.org/rdf/page/s00054231n,s00054231n,melanosis,Yes
http://babelnet.org/rdf/page/s00054331n,s00054331n,Meniere's disease,
http://babelnet.org/rdf/page/s00054432n,s00054432n,mercury poisoning,
http://babelnet.org/rdf/page/s00054538n,s00054538n,metabolic disorder,
http://babelnet.org/rdf/page/s00054585n,s00054585n,metastasis,Yes
http://babelnet.org/rdf/page/s00054672n,s00054672n,metrorrhagia,Yes
http://babelnet.org/rdf/page/s00054743n,s00054743n,microcytic anemia,
http://babelnet.org/rdf/page/s00054942n,s00054942n,sweating sickness,
http://babelnet.org/rdf/page/s00054995n,s00054995n,whitehead,
http://babelnet.org/rdf/page/s00055011n,s00055011n,milk sickness,
http://babelnet.org/rdf/page/s00055085n,s00055085n,mimesis,
http://babelnet.org/rdf/page/s00055276n,s00055276n,spontaneous abortion,
http://babelnet.org/rdf/page/s00055791n,s00055791n,Montezuma's revenge,
http://babelnet.org/rdf/page/s00055816n,s00055816n,nyctalopia,Yes
http://babelnet.org/rdf/page/s00055917n,s00055917n,morphea,Yes
http://babelnet.org/rdf/page/s00056360n,s00056360n,murrain,
http://babelnet.org/rdf/page/s00056589n,s00056589n,myelitis,Yes
http://babelnet.org/rdf/page/s00056591n,s00056591n,myeloblastic leukemia,
http://babelnet.org/rdf/page/s00056680n,s00056680n,myxoma,Yes
http://babelnet.org/rdf/page/s00056845n,s00056845n,narcolepsy,Yes
http://babelnet.org/rdf/page/s00057267n,s00057267n,tumor,Yes
http://babelnet.org/rdf/page/s00057295n,s00057295n,nephrogenic diabetes insipidus,
http://babelnet.org/rdf/page/s00057339n,s00057339n,nervous disorder,
http://babelnet.org/rdf/page/s00057409n,s00057409n,neurofibromatosis,Yes
http://babelnet.org/rdf/page/s00057411n,s00057411n,neurogenic bladder,
http://babelnet.org/rdf/page/s00057839n,s00057839n,sleepwalking,Yes
http://babelnet.org/rdf/page/s00058649n,s00058649n,toothache,Yes
http://babelnet.org/rdf/page/s00058881n,s00058881n,oligomenorrhea,Yes
http://babelnet.org/rdf/page/s00059037n,s00059037n,onychosis,
http://babelnet.org/rdf/page/s00059189n,s00059189n,opportunistic infection,
http://babelnet.org/rdf/page/s00059473n,s00059473n,organic brain syndrome,
http://babelnet.org/rdf/page/s00059661n,s00059661n,osteochondroma,Yes
http://babelnet.org/rdf/page/s00059673n,s00059673n,osteomyelitis,Yes
http://babelnet.org/rdf/page/s00060037n,s00060037n,ozena,Yes
http://babelnet.org/rdf/page/s00060285n,s00060285n,palilalia,Yes
http://babelnet.org/rdf/page/s00060326n,s00060326n,paralysis,Yes
http://babelnet.org/rdf/page/s00060397n,s00060397n,scare,
http://babelnet.org/rdf/page/s00060510n,s00060510n,sandfly fever,
http://babelnet.org/rdf/page/s00060578n,s00060578n,paralysis agitans,
http://babelnet.org/rdf/page/s00060599n,s00060599n,paranoid schizophrenia,
http://babelnet.org/rdf/page/s00061578n,s00061578n,periarteritis nodosa,
http://babelnet.org/rdf/page/s00061618n,s00061618n,periodontal disease,
http://babelnet.org/rdf/page/s00061801n,s00061801n,petechia,Yes
http://babelnet.org/rdf/page/s00061939n,s00061939n,phenylketonuria,Yes
http://babelnet.org/rdf/page/s00062352n,s00062352n,pigeon toes,
http://babelnet.org/rdf/page/s00062804n,s00062804n,plant_disease,
http://babelnet.org/rdf/page/s00062821n,s00062821n,plantar_wart,Yes
http://babelnet.org/rdf/page/s00063439n,s00063439n,polymyositis,Yes
http://babelnet.org/rdf/page/s00064562n,s00064562n,proctitis,Yes
http://babelnet.org/rdf/page/s00064641n,s00064641n,progeria,Yes
http://babelnet.org/rdf/page/s00065004n,s00065004n,psoriasis,Yes
http://babelnet.org/rdf/page/s00065387n,s00065387n,pycnosis,
http://babelnet.org/rdf/page/s00066119n,s00066119n,Ramsay_Hunt_syndrome,Yes
http://babelnet.org/rdf/page/s00066985n,s00066985n,Reiter's_syndrome,Yes
http://babelnet.org/rdf/page/s00067360n,s00067360n,respiratory_disease,Yes
http://babelnet.org/rdf/page/s00067361n,s00067361n,respiratory_tract_infection,Yes
http://babelnet.org/rdf/page/s00067616n,s00067616n,rheumatism,
http://babelnet.org/rdf/page/s00067892n,s00067892n,tinea,Yes
http://babelnet.org/rdf/page/s00068950n,s00068950n,sialolith,Yes
http://babelnet.org/rdf/page/s00070553n,s00070553n,sepsis,Yes
http://babelnet.org/rdf/page/s00070571n,s00070571n,sequela,
http://babelnet.org/rdf/page/s00070643n,s00070643n,serum_sickness,Yes
http://babelnet.org/rdf/page/s00072367n,s00072367n,smut,Yes
http://babelnet.org/rdf/page/s00072387n,s00072387n,snakebite,Yes
http://babelnet.org/rdf/page/s00072457n,s00072457n,snowblindness,Yes
http://babelnet.org/rdf/page/s00073480n,s00073480n,splenomegaly,Yes
http://babelnet.org/rdf/page/s00073603n,s00073603n,spotted_fever,Yes
http://babelnet.org/rdf/page/s00074187n,s00074187n,stenosis,Yes
http://babelnet.org/rdf/page/s00075440n,s00075440n,survivor_guilt,Yes
http://babelnet.org/rdf/page/s00075719n,s00075719n,syndrome,Yes
http://babelnet.org/rdf/page/s00076117n,s00076117n,tapeworm_infection,Yes
http://babelnet.org/rdf/page/s00076555n,s00076555n,tension_headache,Yes
http://babelnet.org/rdf/page/s00077348n,s00077348n,tinea_unguium,Yes
http://babelnet.org/rdf/page/s00077691n,s00077691n,torticollis,Yes
http://babelnet.org/rdf/page/s00078673n,s00078673n,Turner's_syndrome,Yes
http://babelnet.org/rdf/page/s00079266n,s00079266n,upper_respiratory_infection,Yes
http://babelnet.org/rdf/page/s00079343n,s00079343n,urinary_tract_infection,Yes
http://babelnet.org/rdf/page/s00079421n,s00079421n,uveitis,Yes
http://babelnet.org/rdf/page/s00079595n,s00079595n,varicose_vein,Yes
http://babelnet.org/rdf/page/s00079759n,s00079759n,ventricular_fibrillation,Yes
http://babelnet.org/rdf/page/s00079819n,s00079819n,wart,Yes
http://babelnet.org/rdf/page/s00081758n,s00081758n,xanthoma,Yes
http://babelnet.org/rdf/page/s00081791n,s00081791n,XYY,Yes
http://babelnet.org/rdf/page/s00082069n,s00082069n,Zollinger-Ellison_syndrome,Yes
http://babelnet.org/rdf/page/s00117894n,s00117894n,Currarino_syndrome,Yes
http://babelnet.org/rdf/page/s00119593n,s00119593n,loxoscelism,Yes
http://babelnet.org/rdf/page/s00120177n,s00120177n,Esostosi_multipla,
http://babelnet.org/rdf/page/s00122675n,s00122675n,Pipecolic_acidemia,Yes
http://babelnet.org/rdf/page/s00126054n,s00126054n,Anomalia_di_Ebstein,
http://babelnet.org/rdf/page/s00126786n,s00126786n,Transfusion_hemosiderosis,Yes
http://babelnet.org/rdf/page/s00129001n,s00129001n,Desgarro_de_Mallory-Weiss,Yes,
http://babelnet.org/rdf/page/s00129075n,s00129075n,Cushing_ulcer,Yes
http://babelnet.org/rdf/page/s00129082n,s00129082n,Linitis_plastica,Yes
